attack,config,n,threshold,stamp_fn,stamp_fnr,stamp_ci95_lower,stamp_ci95_upper,stamp_ci95_minus,stamp_ci95_plus,stampv2_fn,stampv2_fnr,stampv2_ci95_lower,stampv2_ci95_upper,stampv2_ci95_minus,stampv2_ci95_plus,audioseal_fn,audioseal_fnr,audioseal_ci95_lower,audioseal_ci95_upper,audioseal_ci95_minus,audioseal_ci95_plus,wavmark_fn,wavmark_fnr,wavmark_ci95_lower,wavmark_ci95_upper,wavmark_ci95_minus,wavmark_ci95_plus
opus,256kbps,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,207,0.828,0.7763462457575925,0.8697259504466546,0.05165375424240748,0.041725950446654614,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
quantization,12,250,14,102,0.408,0.3489166372875682,0.4698679906063625,0.05908336271243175,0.0618679906063625,168,0.672,0.6115824662757826,0.7272114902703469,0.06041753372421743,0.055211490270346886,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,245,0.98,0.9540437045850131,0.9914278020553485,0.025956295414986896,0.011427802055348546
quantization,16,250,14,74,0.296,0.24284512248053705,0.3553294871973093,0.053154877519462934,0.059329487197309294,139,0.556,0.49402378531370017,0.616281223794342,0.06197621468629988,0.060281223794341976,213,0.852,0.8026649802416493,0.8906807912946159,0.04933501975835064,0.03868079129461588,237,0.948,0.9130774345624312,0.9693626383019062,0.034922565437568776,0.02136263830190621
quantization,4,250,14,202,0.808,0.7546609408206536,0.8520166092735785,0.05333905917934645,0.04401660927357842,234,0.936,0.8985776859091057,0.9602255992892228,0.03742231409089436,0.024225599289222743,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,6,250,14,180,0.72,0.6613345904453013,0.7720065167648643,0.05866540955469868,0.05200651676486434,227,0.908,0.865737347031913,0.9379134336123944,0.04226265296808707,0.029913433612394402,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,8,250,14,149,0.596,0.5341642139406014,0.6549300873874709,0.061835786059398545,0.058930087387470964,207,0.828,0.7763462457575925,0.8697259504466546,0.05165375424240748,0.041725950446654614,210,0.84,0.7894621432010622,0.8802468406691939,0.05053785679893774,0.04024684066919393,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
smooth,06,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,87,0.348,0.29165649607070654,0.4089441934931789,0.05634350392929344,0.06094419349317892,214,0.856,0.8070866646773006,0.8941380360809675,0.04891333532269937,0.03813803608096755,4,0.016,0.006239123654412256,0.04041044048322319,0.009760876345587744,0.02441044048322319
smooth,10,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,85,0.34,0.2840956187275826,0.40074721239229694,0.055904381272417425,0.06074721239229691,214,0.856,0.8070866646773006,0.8941380360809675,0.04891333532269937,0.03813803608096755,19,0.076,0.0491912491961804,0.11564225327150024,0.0268087508038196,0.03964225327150024
smooth,14,250,14,22,0.088,0.058830921041025906,0.12963936909266374,0.02916907895897409,0.04163936909266375,86,0.344,0.2878738024449977,0.40484795789688477,0.056126197555002255,0.0608479578968848,193,0.772,0.7161076912424261,0.8196594958537787,0.055892308757573894,0.04765949585377871,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931
smooth,18,250,14,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712,88,0.352,0.29544366352974316,0.41303595525614534,0.05655633647025682,0.06103595525614536,224,0.896,0.8519787370865683,0.92803525589173,0.04402126291343167,0.03203525589172995,68,0.272,0.22059935523679833,0.33030167910902997,0.05140064476320169,0.05830167910902995
smooth,22,250,14,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284,94,0.376,0.31825876924195456,0.4374944248759521,0.057741230758045436,0.06149442487595208,204,0.816,0.7633102234972703,0.8591251850409677,0.05268977650272966,0.04312518504096774,80,0.32,0.26527371529560945,0.380174469714255,0.05472628470439056,0.060174469714255
time_stretch,0.7,250,14,246,0.984,0.9595895595167768,0.9937608763455877,0.02441044048322316,0.009760876345587755,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651,221,0.884,0.8383682865919351,0.9180089187203542,0.04563171340806493,0.034008918720354164,68,0.272,0.22059935523679833,0.33030167910902997,0.05140064476320169,0.05830167910902995
time_stretch,0.9,250,14,209,0.836,0.7850808922234535,0.8767491624247995,0.05091910777654651,0.040749162424799534,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,229,0.916,0.875004257077684,0.9444043820106295,0.040995742922316,0.028404382010629448,23,0.092,0.06208656638760557,0.13426265296808712,0.02991343361239443,0.04226265296808712
time_stretch,1.1,250,14,175,0.7,0.6405173251395347,0.7534291359606159,0.05948267486046521,0.05342913596061594,248,0.992,0.9713048854232084,0.9978034088831621,0.02069511457679163,0.005803408883162109,214,0.856,0.8070866646773006,0.8941380360809675,0.04891333532269937,0.03813803608096755,25,0.1,0.06865445354100544,0.1434526242586933,0.031345546458994566,0.043452624258693284
time_stretch,1.3,250,14,236,0.944,0.9082084818368784,0.966352661805456,0.03579151816312154,0.02235266180545603,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,206,0.824,0.7719923442315464,0.8662009227506975,0.052007655768453565,0.042200922750697534,77,0.308,0.2540373353038144,0.367774062040041,0.0539626646961856,0.05977406204004099
time_stretch,1.5,250,14,243,0.972,0.943341533054129,0.9863721151422264,0.02865846694587093,0.014372115142226471,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,211,0.844,0.7938530425287444,0.8837348705635146,0.05014695747125553,0.03973487056351466,172,0.688,0.6280876301153657,0.7422220433187758,0.05991236988463422,0.05422204331877589
