attack,config,n,threshold,stampv40_fn,stampv40_fnr,stampv40_ci95_lower,stampv40_ci95_upper,stampv40_ci95_minus,stampv40_ci95_plus,silentcipher_fn,silentcipher_fnr,silentcipher_ci95_lower,silentcipher_ci95_upper,silentcipher_ci95_minus,silentcipher_ci95_plus
opus,128kbps,250,32,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,31,0.124,0.08874794216937745,0.1706327109623393,0.035252057830622546,0.04663271096233931
opus,256kbps,250,32,26,0.104,0.07196474410827003,0.14802126291343168,0.032035255891729966,0.04402126291343168,20,0.08,0.052381922070894156,0.1203305096187895,0.027618077929105846,0.04033050961878949
quantization,04,250,32,238,0.952,0.9179869282923764,0.9723320737939639,0.03401307170762358,0.020332073793963956,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,06,250,32,236,0.944,0.9082084818368784,0.966352661805456,0.03579151816312154,0.02235266180545603,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,08,250,32,228,0.912,0.8703606309073363,0.9411690789589741,0.04163936909266375,0.029169078958974026,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,12,250,32,199,0.796,0.741745270603991,0.841295491824232,0.05425472939600906,0.04529549182423198,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
quantization,16,250,32,167,0.668,0.6074679599095894,0.7234470674145372,0.06053204009041069,0.0554470674145372,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
smooth,06,250,32,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,47,0.188,0.14442509786439153,0.24101842281937344,0.04357490213560847,0.05301842281937344
smooth,10,250,32,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,101,0.404,0.3450699126125291,0.4658357860593986,0.05893008738747091,0.0618357860593986
smooth,14,250,32,28,0.112,0.07863379432036412,0.15711007114534364,0.033366205679635885,0.04511007114534364,150,0.6,0.5382005167677087,0.6587727137823666,0.06179948323229123,0.05877271378236659
smooth,18,250,32,32,0.128,0.09214637228076344,0.17511321007295638,0.03585362771923656,0.04711321007295638,177,0.708,0.6488287723066753,0.7608755472374812,0.05917122769332461,0.052875547237481224
smooth,22,250,32,27,0.108,0.07529144734526685,0.1525734888984379,0.032708552654733145,0.04457348889843789,182,0.728,0.66969832089097,0.7794006447632017,0.05830167910902995,0.05140064476320172
time_stretch,0.7,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,0.9,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,249,0.996,0.977693652885133,0.9992935706432406,0.018306347114867005,0.003293570643240651
time_stretch,1.1,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,1.3,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
time_stretch,1.5,250,32,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0,250,1.0,0.9848661527503766,1.0,0.015133847249623411,0.0
